Numero do pedido;Data do pedido;Data de Entrega;Nome do produto;Valor produto;Tipo de pagamento;Nome do cliente;Nome da cidade;Nome do estado;Urgente
79;01/12/2009 07:28;01/12/2009 07:28;Shuriken;1200;Selecione;Megan;La Alberca;Murcia;True
80;01/06/2009 15:15;01/06/2009 15:15;Shuriken;1200;Selecione;Danielle;Rathgar;Dublin;True
81;01/03/2009 15:22;01/03/2009 15:22;Shuriken;1200;Selecione;Tod;Coral Gables                ;FL;True
82;01/03/2009 15:22;01/03/2009 15:22;Shuriken;1200;Selecione;Janaina;Miami                       ;FL;True
83;01/06/2009 21:13;01/06/2009 21:13;Shuriken;1200;Selecione;Kofi;Vancouver;British Columbia;True
84;01/06/2014 20:48;01/06/2014 20:48;Shuriken;1200;Selecione;Jennifer;Jumeira;Dubayy;True
85;01/12/2013 19:48;01/12/2013 19:48;Shuriken;1200;Selecione;Jolene ;Englewood                   ;CO;True
86;01/06/2013 18:48;01/06/2013 18:48;Shuriken;1200;Selecione;anne;Bournemouth;England;True
87;01/12/2012 17:48;01/12/2012 17:48;Shuriken;1200;Selecione;Alexis;Genoa                       ;IL;True
88;01/06/2012 16:48;01/06/2012 16:48;Shuriken;1200;Selecione;Dez;Al 'Adliyah;Al Manamah;True
89;01/12/2011 15:48;01/12/2011 15:48;Shuriken;1200;Selecione;Stephanie;Rouen;Upper Normandy;True
90;01/06/2011 14:48;01/06/2011 14:48;Shuriken;1200;Selecione;Melissa ;Parkland                    ;FL;True
91;01/12/2010 13:48;01/12/2010 13:48;Shuriken;1200;Selecione;CLARE;San Francisco               ;CA;True
92;01/06/2010 12:48;01/06/2010 12:48;Shuriken;1200;Selecione;catherine;Keller                      ;VA;True
93;01/12/2009 11:48;01/12/2009 11:48;Shuriken;1200;Selecione;Veronique ;Tsawwassen;British Columbia;True
94;01/06/2009 10:48;01/06/2009 10:48;Shuriken;1200;Selecione;Bruce and Camille;Clinton                     ;NJ;True
95;01/06/2009 10:48;01/06/2009 10:48;Shuriken;1200;Selecione;Ellen;Owensboro                   ;KY;True
96;01/06/2009 10:48;01/06/2009 10:48;Shuriken;1200;Selecione;Amy;Lakewood Village            ;TX;True
97;01/06/2009 07:23;01/06/2009 07:23;Shuriken;1200;Selecione;Anna;Okotoks;Alberta;True
98;01/01/2009 05:04;01/01/2009 05:04;Shuriken;1200;Selecione;Regina;Glimmen;Groningen;True
99;01/02/2009 06:17;01/02/2009 06:17;Shuriken;1200;Selecione;Heidi;Calgary;Alberta;True
100;01/02/2009 04:53;01/02/2009 04:53;Shuriken;1200;Selecione;Jessica;Kanata;Ontario;True
101;01/02/2009 13:08;01/02/2009 13:08;Shuriken;1200;Selecione;Petra;Bergen;Nordrhein-Westfalen;True
102;01/03/2009 14:44;01/03/2009 14:44;Shuriken;1200;Selecione;Brian;College Park                ;MD;True
103;01/04/2009 20:11;01/04/2009 20:11;Shuriken;1200;Selecione;Kenny;Kailua Kona                 ;HI;True
104;01/02/2009 20:09;01/02/2009 20:09;Shuriken;1200;Selecione;ayse;Redondo Beach               ;CA;True
105;01/04/2009 13:17;01/04/2009 13:17;Shuriken;1200;Selecione;Maria and Timothy;Fountain Hls                ;AZ;True
106;01/04/2009 14:11;01/04/2009 14:11;Shuriken;1200;Selecione;IMAN;Brisbane;Queensland;True
107;01/05/2009 02:42;01/05/2009 02:42;Shuriken;2100;Selecione;Gerald;Mahopac                     ;NY;True
108;01/02/2009 09:16;01/02/2009 09:16;Katana;1200;Selecione;Annelies;Ile-Perrot;Quebec;True
109;01/02/2009 14:18;01/02/2009 14:18;Katana;1200;Selecione;Jocelyn;Bruxelles;Brussels (Bruxelles);True
110;01/04/2009 01:05;01/04/2009 01:05;Katana;1200;Selecione;Kara;Chicago                     ;IL;True
111;01/05/2009 11:37;01/05/2009 11:37;Katana;1200;Selecione;Orsi;Rayford                     ;TX;True
112;01/02/2009 07:35;01/02/2009 07:35;Katana;1200;Selecione;Ben;Escondido                   ;CA;True
113;01/06/2009 12:56;01/06/2009 12:56;Katana;1200;Selecione;Sam;Tesvikiye;Istanbul;True
114;01/01/2009 11:05;01/01/2009 11:05;Katana;1200;Selecione;Filip and Teresa;Centurion;Gauteng;True
115;01/05/2009 04:10;01/05/2009 04:10;Katana;1200;Selecione;Grace ;York;England;True
116;01/06/2009 07:18;01/06/2009 07:18;Katana;1200;Selecione;Chelsey ;Ashburn                     ;VA;True
117;01/02/2009 01:11;01/02/2009 01:11;Katana;1200;Selecione;Charis;Los Angeles                 ;CA;True
118;01/01/2009 02:24;01/01/2009 02:24;Katana;1200;Selecione;Marlene;Edgewood                    ;WA;True
119;01/07/2009 08:08;01/07/2009 08:08;Katana;1200;Selecione;Fie;New York                    ;NY;True
120;01/02/2009 02:57;01/02/2009 02:57;Katana;1200;Selecione;Nicole ;Basingstoke;England;True
121;01/01/2009 20:21;01/01/2009 20:21;Katana;1200;Selecione;Linda;Den Haag;Zuid-Holland;True
122;01/08/2009 00:42;01/08/2009 00:42;Katana;1200;Selecione;Janet;Marietta                    ;GA;True
123;01/08/2009 03:56;01/08/2009 03:56;Katana;1200;Selecione;Jamie;Houston                     ;TX;True
124;01/08/2009 03:16;01/08/2009 03:16;Katana;1200;Selecione;Chad;West Orange                 ;NJ;True
125;01/08/2009 01:59;01/08/2009 01:59;Katana;1200;Selecione;sunny;Amsterdam;Noord-Holland;True
126;01/03/2009 09:03;01/03/2009 09:03;Katana;1200;Selecione;Anna;Downey                      ;CA;True
127;01/05/2009 13:17;01/05/2009 13:17;Katana;1200;Selecione;Roger;Urlingford;Kilkenny;True
128;01/06/2009 07:46;01/06/2009 07:46;Katana;1200;Selecione;Si;Holte;Kobenhavn;True
129;01/08/2009 16:24;01/08/2009 16:24;Katana;1200;Selecione;Sherri;Freienbach;Schwyz;True
130;01/09/2009 06:39;01/09/2009 06:39;Katana;1200;Selecione;Katherine;Hofheim am Taunus;Hessen;True
131;01/07/2009 07:44;01/07/2009 07:44;Katana;1200;Selecione;Clare;Lafayette                   ;CA;True
132;01/03/2009 13:24;01/03/2009 13:24;Katana;1200;Selecione;Campbell;Mushrif;;True
133;01/07/2009 20:15;01/07/2009 20:15;Katana;1200;Selecione;Ruth;Nashville                   ;AR;True
134;01/09/2009 15:58;01/09/2009 15:58;Katana;1200;Selecione;Doug;Bishop Auckland;England;True
135;01/03/2009 13:11;01/03/2009 13:11;Katana;1200;Selecione;Shailesh;Joppa;MD;True
136;01/10/2009 12:57;01/10/2009 12:57;Katana;1200;Selecione;Conrad;Joppa;MD;True
137;01/10/2009 14:43;01/10/2009 14:43;Katana;1200;Selecione;Alison;Hampton                     ;NJ;True
138;01/10/2009 12:05;01/10/2009 12:05;Katana;1200;Selecione;Tracy;Louisville                  ;KY;True
139;01/06/2009 01:20;01/06/2009 01:20;Katana;1200;Selecione;Kate;Broadlands                  ;VA;True
140;01/10/2009 14:56;01/10/2009 14:56;Katana;1200;Selecione;Sarka;Yellowknife;Northwest Territories;True
141;01/07/2009 10:01;01/07/2009 10:01;Katana;1200;Selecione;Klara;Spring Lake Park            ;MN;True
142;01/01/2009 01:26;01/01/2009 01:26;Katana;1200;Selecione;Andrew;Winnipeg;Manitoba;True
143;01/11/2009 02:04;01/11/2009 02:04;Katana;1200;Selecione;Vicki and Bill;Seattle                     ;WA;True
144;01/11/2009 14:17;01/11/2009 14:17;Katana;1200;Selecione;David;Deptford                    ;NJ;True
145;01/10/2009 21:38;01/10/2009 21:38;Katana;1200;Selecione;Antonella;Amsterdam;Noord-Holland;True
146;01/07/2009 06:18;01/07/2009 06:18;Katana;1200;Selecione;David;Alpharetta                  ;GA;True
147;01/05/2009 00:31;01/05/2009 00:31;Katana;1200;Selecione;Greg;Washington                  ;DC;True
148;01/02/2009 06:07;01/02/2009 06:07;Katana;1200;Selecione;Jannik ;Holmenkollen;Oslo;True
149;01/12/2009 03:25;01/12/2009 03:25;Katana;1200;Selecione;Sylvia;Zekeriyakoy;Istanbul;True
150;01/04/2009 13:56;01/04/2009 13:56;Katana;1200;Selecione;Bernadette;Washington                  ;DC;True
151;01/12/2009 05:18;01/12/2009 05:18;Katana;1200;Selecione;Denise;Montreal;Quebec;True
152;01/08/2009 15:16;01/08/2009 15:16;Katana;1200;Selecione;luciana;Athens                      ;GA;True
153;01/11/2009 11:33;01/11/2009 11:33;Katana;1200;Selecione;Maja;Hoschton                    ;GA;True
154;01/07/2009 20:22;01/07/2009 20:22;Katana;1200;Selecione;Kirstie;Royal Oak                   ;MI;True
155;01/02/2009 22:00;01/02/2009 22:00;Katana;1200;Selecione;Scott ;Royal Oak                   ;MI;True
156;01/05/2009 13:52;01/05/2009 13:52;Katana;1200;Selecione;Jammie;Belmont                     ;MA;True
157;01/08/2009 20:32;01/08/2009 20:32;Katana;1200;Selecione;Frank;Old Greenwich               ;CT;True
158;01/08/2009 13:34;01/08/2009 13:34;Katana;1200;Selecione;scott;Coconut Grove               ;FL;True
159;01/11/2009 13:08;01/11/2009 13:08;Katana;1200;Selecione;Jiri;Vienna                      ;VA;True
160;01/12/2009 19:04;01/12/2009 19:04;Katana;1200;Selecione;Dave and Amy;Norfolk                     ;VA;True
161;01/12/2009 13:41;01/12/2009 13:41;Katana;1200;Selecione;Rebecca;Norfolk                     ;VA;True
162;01/11/2009 10:38;01/11/2009 10:38;Katana;1200;Selecione;Melissa;Aberdeen;Scotland;True
163;01/11/2009 10:38;01/11/2009 10:38;Katana;1200;Selecione;jeremy;Charlestown;New South Wales;True
164;01/11/2009 10:38;01/11/2009 10:38;Katana;1200;Selecione;Randy;Wigan;England;True
165;01/08/2009 13:14;01/08/2009 13:14;Katana;1200;Selecione;Djeiny;Rockville                   ;MD;True
166;01/02/2009 11:41;01/02/2009 11:41;Katana;1200;Selecione;Andrea ;Shreveport                  ;LA;True
167;01/07/2009 19:50;01/07/2009 19:50;Katana;1200;Selecione;Joanna;Little Silver               ;NJ;True
168;01/01/2009 20:28;01/01/2009 20:28;Katana;1200;Selecione;Jessica;Abbey Town;England;True
169;01/03/2009 15:22;01/03/2009 15:22;Katana;1200;Selecione;alison;Mid City West               ;PA;True
170;01/11/2009 10:38;01/11/2009 10:38;Katana;1200;Selecione;malin;Atlanta;Georgia;True
171;01/03/2009 15:22;01/03/2009 15:22;Katana;1200;Selecione;Genevieve;Milton Keynes;England;True
172;01/02/2009 12:18;01/02/2009 12:18;Katana;1200;Selecione;Saraya;Dresden;Saxony;True
173;01/03/2009 15:22;01/03/2009 15:22;Katana;1200;Selecione;Anastasia;NYC                         ;NY;True
174;01/06/2009 17:15;01/06/2009 17:15;Katana;1200;Selecione;Elizabeth;The Grange;Queensland;True
175;01/03/2009 13:56;01/03/2009 13:56;Katana;1200;Selecione;Nicole;Brookline                   ;MA;True
176;01/04/2009 07:54;01/04/2009 07:54;Katana;1200;Selecione;Jeffrey;Montreal-Nord;Quebec;True
177;01/12/2009 07:28;01/12/2009 07:28;Katana;1200;Selecione;Blanca Gabriela ;Irving                      ;TX;True
178;01/06/2009 15:15;01/06/2009 15:15;Katana;1200;Selecione;Elisa;Ottawa Hills                ;OH;True
179;01/03/2009 15:22;01/03/2009 15:22;Katana;1200;Selecione;Bob;Sydney;New South Wales;True
180;01/03/2009 15:22;01/03/2009 15:22;Katana;1200;Selecione;Elizabeth;Wollongong;New South Wales;True
181;01/06/2009 21:13;01/06/2009 21:13;Katana;1200;Selecione;Cathy;Brooklyn                    ;NY;True
182;01/06/2014 20:48;01/06/2014 20:48;Katana;1200;Selecione;suzanne;Lemont                      ;IL;True
183;01/12/2013 19:48;01/12/2013 19:48;Katana;1200;Selecione;Cassandra;San Carlos                  ;CA;True
184;01/06/2013 18:48;01/06/2013 18:48;Katana;1200;Selecione;Jennifer;Chicago                     ;IL;True
185;01/12/2012 17:48;01/12/2012 17:48;Katana;1200;Selecione;nicole;Oslo;Oslo;True
186;01/06/2012 16:48;01/06/2012 16:48;Katana;1200;Selecione;Sean;Wantagh;NY;True
187;01/12/2011 15:48;01/12/2011 15:48;Katana;1200;Selecione;Morgan;Coomera;Queensland;True
188;01/06/2011 14:48;01/06/2011 14:48;Katana;1200;Selecione;Harriet;Fort Oglethorpe             ;GA;True
189;01/12/2010 13:48;01/12/2010 13:48;Katana;1200;Selecione;Janine;Corbin City                 ;NJ;True
190;01/06/2010 12:48;01/06/2010 12:48;Katana;1200;Selecione;Debora;Lakeside                    ;CA;True
191;01/12/2009 11:48;01/12/2009 11:48;Katana;1200;Selecione;Vishpala;Margate                     ;FL;True
192;01/06/2009 10:48;01/06/2009 10:48;Katana;1200;Selecione;Emer;South Palm Beach            ;FL;True
193;01/06/2009 10:48;01/06/2009 10:48;Katana;1200;Selecione;john;New York                    ;NY;True
194;01/06/2009 10:48;01/06/2009 10:48;Katana;1200;Selecione;lailani;Anchorage                   ;AK;True
195;01/06/2009 07:23;01/06/2009 07:23;Katana;1200;Selecione;Tricia;Castricum;Noord-Holland;True
196;01/01/2009 05:04;01/01/2009 05:04;Katana;1200;Selecione;Celina;North Brunswick             ;NJ;True
197;01/02/2009 06:17;01/02/2009 06:17;Katana;1200;Selecione;Patrick;Baytown                     ;TX;True
198;01/02/2009 04:53;01/02/2009 04:53;Katana;790;Selecione;Jacob;Winter Haven                ;FL;True
199;01/02/2009 13:08;01/02/2009 13:08;Katana;820;Selecione;elisabeth;Gonzaga Univ                ;WA;True
200;01/03/2009 14:44;01/03/2009 14:44;Katana;850;Selecione;Kevin ;London;England;True
201;01/04/2009 20:11;01/04/2009 20:11;Katana;880;Selecione;Liban;Stavanger;Rogaland;True
202;01/02/2009 20:09;01/02/2009 20:09;Katana;910;Selecione;Georgina;Portland                    ;OR;True
203;01/04/2009 13:17;01/04/2009 13:17;Katana;940;Selecione;Kellie;Staten Island               ;NY;True
204;01/04/2009 14:11;01/04/2009 14:11;Katana;970;Selecione;Terry;San Antonio                 ;TX;True
205;01/05/2009 02:42;01/05/2009 02:42;Katana;1000;Selecione;frauke;Horten;Vestfold;True
206;01/02/2009 09:16;01/02/2009 09:16;Katana;1030;Selecione;Simone;San Antonio                 ;TX;True
207;01/02/2009 14:18;01/02/2009 14:18;Katana;1060;Selecione;Hilde ;Princeville                 ;HI;True
208;01/04/2009 01:05;01/04/2009 01:05;Katana;1090;Selecione;Leah;Castleknock;Dublin;True
209;01/05/2009 11:37;01/05/2009 11:37;Katana;1120;Selecione;Laine;Castleknock;Dublin;True
210;01/02/2009 07:35;01/02/2009 07:35;Katana;1150;Selecione;kirsten;Bishops Stortford;England;True
211;01/06/2009 12:56;01/06/2009 12:56;Katana;1180;Selecione;Anna;Lafayette                   ;CA;True
212;01/01/2009 11:05;01/01/2009 11:05;Katana;1210;Selecione;Babs;Blackpool;England;True
213;01/05/2009 04:10;01/05/2009 04:10;Katana;1240;Selecione;Gerlinde;Hellerup;Kobenhavn;True
214;01/06/2009 07:18;01/06/2009 07:18;Katana;1270;Selecione;Hollyn;London;England;True
215;01/02/2009 01:11;01/02/2009 01:11;Katana;1300;Selecione;leiser;N Java                      ;NY;True
216;01/01/2009 02:24;01/01/2009 02:24;Katana;1330;Selecione;Lisa;Brulon;Pays de la Loire;True
217;01/07/2009 08:08;01/07/2009 08:08;Katana;1200;Selecione;Ann;Austin                      ;TX;True
218;01/02/2009 02:57;01/02/2009 02:57;Katana;1200;Selecione;Nichol Jane;Midland Park                ;NJ;True
219;01/01/2009 20:21;01/01/2009 20:21;Katana;1200;Selecione;Beatriz;Centerport                  ;NY;True
220;01/08/2009 00:42;01/08/2009 00:42;Katana;1200;Selecione;corina;Neustift am Walde;Vienna;True
221;01/08/2009 03:56;01/08/2009 03:56;Katana;1200;Selecione;manon;Neustift am Walde;Vienna;True
222;01/08/2009 03:16;01/08/2009 03:16;Katana;1200;Selecione;Isabelle;Shorewood                   ;MN;True
223;01/08/2009 01:59;01/08/2009 01:59;Katana;1200;Selecione;Lynne;Southlake                   ;TX;True
224;01/03/2009 09:03;01/03/2009 09:03;Katana;1200;Selecione;Doug;Huntington                  ;NY;True
225;01/05/2009 13:17;01/05/2009 13:17;Katana;1200;Selecione;AMY;The Woodlands               ;TX;True
226;01/06/2009 07:46;01/06/2009 07:46;Katana;1200;Selecione;Kim;Kelowna;British Columbia;True
227;01/08/2009 16:24;01/08/2009 16:24;Katana;1200;Selecione;HELIDA;White House                 ;TN;True
228;01/09/2009 06:39;01/09/2009 06:39;Katana;1200;Selecione;Cameron;Rungsted;Frederiksborg;True
229;01/07/2009 07:44;01/07/2009 07:44;Katana;1200;Selecione;Wendy;Lake Mahopac                ;NY;True
230;01/03/2009 13:24;01/03/2009 13:24;Katana;1200;Selecione;Tara;Killiney;Dublin;True
231;01/07/2009 20:15;01/07/2009 20:15;Katana;1200;Selecione;James;Guer;Brittany;True
232;01/09/2009 15:58;01/09/2009 15:58;Katana;800;Selecione;Heloise ;Arlington                   ;VA;True
233;01/03/2009 13:11;01/03/2009 13:11;Katana;1200;Selecione;Gabriel;Three Hills;Alberta;True
234;01/10/2009 12:57;01/10/2009 12:57;Katana;1200;Selecione;Jodie ;Great Falls;Virginia;True
235;01/10/2009 14:43;01/10/2009 14:43;Katana;1200;Selecione;Jeremy;London;England;True
236;01/10/2009 12:05;01/10/2009 12:05;Katana;1200;Selecione;Helga;Clontarf;Dublin;True
237;01/06/2009 01:20;01/06/2009 01:20;Katana;1200;Selecione;Eleanor;Vancouver;British Columbia;True
238;01/10/2009 14:56;01/10/2009 14:56;Katana;1200;Selecione;Miss;London;England;True
239;01/07/2009 10:01;01/07/2009 10:01;Katana;1200;Selecione;prof;Gladwyne                    ;PA;True
240;01/01/2009 01:26;01/01/2009 01:26;Katana;1200;Selecione;KeithMichelle;Houston                     ;TX;True
241;01/11/2009 02:04;01/11/2009 02:04;Katana;1200;Selecione;Kathryn;Cork;Cork;True
242;01/11/2009 14:17;01/11/2009 14:17;Katana;1200;Selecione;Veronique;Tenafly                     ;NJ;True
243;01/10/2009 21:38;01/10/2009 21:38;Katana;1200;Selecione;Erica;Leesburg                    ;VA;True
244;01/07/2009 06:18;01/07/2009 06:18;Katana;1200;Selecione;L;Alcona;Ontario;True
245;01/05/2009 00:31;01/05/2009 00:31;Katana;1200;Selecione;Diana;Kuala Lumpur;Kuala Lumpur;True
246;01/02/2009 06:07;01/02/2009 06:07;Katana;1200;Selecione;Emma;Sydney;New South Wales;True
247;01/12/2009 03:25;01/12/2009 03:25;Katana;1200;Selecione;Marina;Nerang;Queensland;True
248;01/04/2009 13:56;01/04/2009 13:56;Katana;1200;Selecione;Natalie ;Bryceville                  ;FL;True
249;01/12/2009 05:18;01/12/2009 05:18;Katana;1200;Selecione;Brenda;Saffron Walden;England;True
250;01/08/2009 15:16;01/08/2009 15:16;Katana;1200;Selecione;Nita;Sutton;Dublin;True
251;01/11/2009 11:33;01/11/2009 11:33;Katana;1200;Selecione;Marian;Durban;KwaZulu-Natal;True
252;01/07/2009 20:22;01/07/2009 20:22;Katana;1200;Selecione;Kevin;Berkeswell;England;True
